No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Kundarki,II,SP,Mohammad Rizwan,110561,41.83,BJP,Ramveer Singh,99740,37.73,10821,4.10,BSP,Akbar Husain,36071,13.65,AIMEIM,Israr Husain,7025,2.66,RLD,Mohammad Nabi,4078,1.54,1170,0.44,5685,2.15,264330,IND,Mohd. Zaki,1578,0.60,IND,Pappu Singh,1342,0.51,PECP,Ramjani,921,0.35,IND,Mohd. Rais,504,0.19,IND,Uvais,457,0.17,BBPP,Fayyazul Husain,278,0.11,BSS,Santu Urf Santosh Kumar,246,0.09,IND,Irfan Ali,191,0.07,JSD,Rajendra,168,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Bilari,II,SP,Mohd. Faeem,85682,37.40,BJP,Suresh Saini,72241,31.53,13441,5.87,BSP,Rishipal Singh,60976,26.61,PECP,Arif Husain,2666,1.16,RLD,Anil Chaudhary,2493,1.09,1123,0.49,3935,1.72,229116,IND,Yogendra Singh,1278,0.56,IND,Ratanpal,790,0.34,IND,Waseem Ahmad,704,0.31,IND,Mohd Mohsin Kamal,306,0.13,BSS,Hari Singh,269,0.12,IND,Dinesh Sharma,220,0.10,BMF,Vijay Singh,218,0.10,IND,Anandi,150,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chandausi (SC),II,BJP,Gulab Devi,104806,46.77,INC,Km. Vimlesh Kumari,59337,26.48,45469,20.29,BSP,Virmawati,51049,22.78,MD,Jyotasna,3615,1.61,RLD,Ravindra Kumar,1278,0.57,2135,0.95,1854,0.83,224074,IND,Brham Dev,1257,0.56,IND,Rampal Singh,597,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Asmoli,II,SP,Pinki Yadav,97610,39.04,BJP,Narendra Singh,76484,30.59,21126,8.45,BSP,Aqeelurrehman Khan,67457,26.98,SSAP,Ramsaran,1689,0.68,RLD,Dhirendra Yadav,1027,0.41,1872,0.75,3906,1.56,250045,IND,Pappu,960,0.38,KISJP,Asharaf,906,0.36,IND,Ajay Kumar,646,0.26,IND,Maharam Singh,542,0.22,IND,Zakir Husain,534,0.21,IND,Zakir Khan,318,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sambhal,II,SP,Iqbal Mehmood,79248,32.70,AIMEIM,Ziaurrehman,60426,24.93,18822,7.77,BJP,Dr. Arvind,59976,24.74,BSP,Rafatulla,36705,15.14,IND,Ajay Kumar,1361,0.56,1683,0.69,2985,1.23,242384,RLD,Qaiser Abbas,920,0.38,IND,Santosh Kumari,842,0.35,IND,Farhad A.,623,0.26,JSD,Nem Singh Jatav Advocate,600,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Suar,II,SP,Mohammad Abdullah Azam Khan,106443,51.68,BJP,Laxmi Saini,53347,25.90,53096,25.78,BSP,Nawab Kazim Ali Khan,42233,20.51,MDP,Arshad Warsi,1283,0.62,RLD,Navin Kumar,902,0.44,872,0.42,882,0.43,205962,BSS,Mahaveer Singh,583,0.28,IND,Ikram,299,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Chamraua,II,SP,Naseer Ahmad Khan,87400,44.99,BSP,Ali Yusuf Ali,53024,27.29,34376,17.70,BJP,Mohan Kumar Lodhi,50954,26.23,JSSP,Rakesh Kumar,815,0.42,IND,Murshad Ali,523,0.27,1077,0.55,492,0.25,194285,IND,Mohd. Rafi,492,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bilaspur,II,BJP,Baldev Singh Aulakh,99100,44.30,INC,Sanjay Kapoor,76741,34.31,22359,9.99,BSP,Pradeep Kumar,39344,17.59,PECP,Shahid Hussain Khan,2688,1.20,RLD,Santosh Sharma,2439,1.09,1227,0.55,2155,0.96,223694,LPI(VVP),Harender Singh,781,0.35,IND,Makdoom Ahmed,748,0.33,IND,Satya Prakash,626,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Rampur,II,SP,Mohammad Azam Khan,102100,47.47,BJP,Shiv Bahadur Saxena,55258,25.69,46842,21.78,BSP,Dr. Tanveer Ahmad Khan,54248,25.22,IND,Ahmad Ali,952,0.44,RLD,Asim Khan,901,0.42,1191,0.55,423,0.20,215073,IND,Mohd. Haneef Khan,423,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Milak (SC),II,BJP,Rajbala,89861,41.54,SP,Vijay Singh,73194,33.83,16667,7.71,BSP,Radhey Shyam Rahi,39271,18.15,IND,Chandrapal Singh,7914,3.66,RPI(A),Kapil Dev,1637,0.76,1477,0.68,2980,1.38,216334,RLD,Indra Singh Mehra,1328,0.61,SKLP,Madhubala,827,0.38,IND,Jagatsingh,825,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Dhanaura (SC),II,BJP,Rajeev Kumar,102943,45.72,SP,Jagram Singh,64714,28.74,38229,16.98,BSP,Sanjeev Lal,51952,23.07,RLD,Kapil Chandra,3747,1.66,,,,,1824,0.81,,,225180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Naugawan Sadat,II,BJP,Chetan Chauhan,97030,41.43,SP,Javed Abbas,76382,32.62,20648,8.81,BSP,Jaidev,40172,17.15,RLD,Ashfaq Ali Khan,14597,6.23,RKMP,Soran Singh,1528,0.65,1132,0.48,3349,1.43,234190,IND,Braham Singh,856,0.37,IND,Charan Singh,583,0.25,RPI(A),Imamulla,578,0.25,IND,Amod Kumar,494,0.21,IVD,Surendra,324,0.14,LD,Pawan Kumar,261,0.11,NAICP,Umesh,128,0.05,RMJP,Krishna Pal,125,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amroha,II,SP,Mehboob Ali,74713,37.10,BSP,Naushad Ali,59671,29.63,15042,7.47,BJP,Dr. Kunwar Sain Saini,45420,22.55,RLD,Saleem Khan,14132,7.02,AIMEIM,Shameem Ahmad,2861,1.42,1219,0.61,3361,1.67,201377,RKMP,Mohd Shoeb,1050,0.52,IND,Mohd Haseen,786,0.39,IND,Shashi,497,0.25,PECP,Mohd Rizwan,384,0.19,IND,Yasir Abdulla,235,0.12,IND,Bholey,149,0.07,IND,Dharmveer Singh Saini,144,0.07,IND,Khushreed Ahmad,116,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Hasanpur,II,BJP,Mahendra Singh Khargvanshi,111269,43.65,SP,Kamal Akhtar,83499,32.76,27770,10.89,BSP,Gangasaran Khadgvansi,51930,20.37,ADP,Indrajeet,1283,0.50,AIMEIM,Naushad Ali,1235,0.48,1694,0.66,4009,1.57,254919,RLD,Mahaveer,1034,0.41,RaJaSP,Leela Devi,966,0.38,RPI(A),Vijaypal,850,0.33,IND,Rajendra Singh,787,0.31,RLRP,Vinay Bhaiya,372,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Siwalkhas,I,BJP,Jitendra Pal Singh (Billu),72842,32.32,SP,Ghulam Mohammad,61421,27.25,11421,5.07,RLD,Yashveer Singh,44710,19.84,BSP,Nadeem Ahamad Urf Nadeem Chauhan,42524,18.87,BTSP,Deepak Ram,1010,0.45,1086,0.48,1772,0.79,225365,IND,Harendra,592,0.26,IND,Subhash,551,0.24,IND,Wasi Mohammad,342,0.15,IND,Vikrant Choudhary,287,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Sardhana,I,BJP,Sangeet Singh Som,97921,40.93,SP,Atul Pradhan,76296,31.89,21625,9.04,BSP,Hafiz Imran Yaqoob,57239,23.92,RLD,Vakil Chaudhary,3920,1.64,IND,Vasif Ali,964,0.40,1087,0.45,1824,0.76,239251,BTSP,Vikas Verma,583,0.24,BBPP,Tarun Kumar,433,0.18,IND,Devender,387,0.16,IND,Naresh Kashyap,273,0.11,UDFS,Mamta,148,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Hastinapur (SC),I,BJP,Dinesh Khatik,99436,44.92,BSP,Yogesh Verma,63374,28.63,36062,16.29,SP,Prabhudayal Balmiki,48979,22.13,RLD,Kusum,6538,2.95,RKMP,Rajkumar,1178,0.53,1013,0.46,853,0.39,221371,BMUP,Duryodhan,853,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Kithore,I,BJP,Satyavir Tyagi,90622,37.31,SP,Shahid Manzoor,79800,32.86,10822,4.45,BSP,Gajraj Singh,62503,25.73,RLD,Matloob Gaur,6598,2.72,IND,Amrish Kumar Tyagi,1008,0.42,1224,0.50,1124,0.46,242879,IND,Jan Mohammad,777,0.32,IND,Rahat Ali,347,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Meerut Cantt.,I,BJP,Satya Prakash Agarwal,132518,55.93,BSP,Satendra Solanki,55899,23.59,76619,32.34,INC,Ramesh Dhingra,39650,16.74,RLD,Sanjeev Dhama,3851,1.63,IND,Vinod Chaudhary Urf Vinod Kumar,950,0.40,1110,0.47,2948,1.24,236926,IND,Pradeep Sharma,617,0.26,BTSP,Sanjay Verma,610,0.26,IND,Dr. Naresh Chandra,394,0.17,HND,Krishan Kumar,332,0.14,PECP,Mohd Firoz,285,0.12,SHS,Jile Singh,254,0.11,BMUP,V. P. Singh,205,0.09,RLSP,Satish Chand,149,0.06,UDFS,Lokesh Nyayi,102,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Meerut,I,SP,Rafiq Ansari,103217,52.79,BJP,Dr. Laxmikant Bajpai,74448,38.08,28769,14.71,BSP,Pankaj Jauli,12636,6.46,IND,Mehfooz,1391,0.71,RLD,Gyanendra Kumar Sharma,667,0.34,738,0.38,2419,1.24,195516,IND,Wasiqul Hasan Zaidi,500,0.26,IND,Rajeev Kumar Garg,340,0.17,IND,Rajesh Mohan Sharma,323,0.17,SHS,Dheeraj Goyal,279,0.14,HND,Amit Sharma,275,0.14,IND,Jitendra Verma,258,0.13,IND,Murtuja,145,0.07,IND,Ch. Abdul Wahab Advocate,109,0.06,IND,Priti,98,0.05,UDFS,Afzal,92,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Meerut South,I,BJP,Dr. Somendra Tomar,113225,41.81,BSP,Haji Mohammad Yaqub,77830,28.74,35395,13.07,INC,Mohammad Azad Saifi,69117,25.52,RLD,Pappu Gurjar,5462,2.02,SHS,Chahan Singh,692,0.26,1401,0.52,3069,1.13,270796,IND,Pradeep Kumar,649,0.24,IND,Hosiyar Singh,637,0.24,IND,Ram Saran Saini,624,0.23,HND,Pandit Ravi Bhatt,547,0.20,IND,Atul Khodawal,336,0.12,BBPP,Prabudh Kumar,276,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Chhaprauli,I,RLD,Sahender Singh Ramala,65124,32.54,BJP,Satender Singh,61282,30.62,3842,1.92,SP,Manoj Chaudhary,39841,19.91,BSP,Rajbala,30241,15.11,IND,Subhash Singh,758,0.38,1027,0.51,1879,0.94,200152,SJSP,Hukamchand,451,0.23,IEMC,Asaphak,444,0.22,BMUP,Savita Malik,386,0.19,SBP,Indu Singh Chhaprauli,348,0.17,AJPR,Chaman Singh,250,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Baraut,I,BJP,Krishanpal Malik Urf Krishanpal Malik,79427,42.89,RLD,Sahab Singh,52941,28.59,26486,14.30,SP,Shokendra,28376,15.32,BSP,Lokesh Dixit,22071,11.92,IEMC,Anish,537,0.29,870,0.47,956,0.52,185178,IND,Sharad Jain,465,0.25,SPOI,Sudhir,280,0.15,IND,Bablu,211,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Baghpat,I,BJP,Yogesh Dhama,92566,46.61,BSP,Ahmed Hameed,61206,30.82,31360,15.79,RLD,Kartar Singh Bhadana,21751,10.95,INC,Dr.Kuldeep Ujjwal,19091,9.61,IND,Vikal Sharma,609,0.31,954,0.48,2436,1.23,198613,IND,Ashish Tyagi,508,0.26,SJSP,Kurban,477,0.24,IND,Pankaj Kumar Singh,333,0.17,SSAP,Geeta Kashyap,311,0.16,BTSP,Noraj Singh,227,0.11,IEMC,Makasud,207,0.10,BNIP,Pramod Alias Pramod Kumar Goswami,204,0.10,BMUP,Sohanveer Singh Baudh,169,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Loni,I,BJP,Nandkishor,113088,41.19,BSP,Zakir Ali,70275,25.60,42813,15.59,RLD,Madan Bhaiya,42539,15.49,SP,Rashid Malik,42302,15.41,IND,Amit Kumar,3808,1.39,1663,0.61,880,0.32,274555,IND,Nasim,880,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Muradnagar,VI,BJP,Ajit Pal Tyagi,140759,55.52,BSP,Sudhan Kumar,51147,20.17,89612,35.35,INC,Surender Prakash,49989,19.72,RLD,Ajay Pal Singh,6648,2.62,IND,Dishant Tyagi,770,0.30,1053,0.42,3166,1.25,253532,SJRP,Sanjeev Kumar,594,0.23,IND,Ravi Dutt,575,0.23,IND,Mulchand,423,0.17,LTMP,Ramashray Prasad,395,0.16,IND,Arunesh Kumar Tewatia,333,0.13,IND,Natthu Singh Chaudhary,333,0.13,IND,Ashok Kumar Sharama,247,0.10,NYP,Rotash Singh Chauhan,147,0.06,IND,Taj Mohd. (Taj Chaudhary),119,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Sahibabad,I,BJP,Sunil Kumar Sharma,262741,61.70,INC,Amarpal,112056,26.31,150685,35.39,BSP,Jalaluddin,41654,9.78,IND,Rajeev Sharma,1205,0.28,CPIM,Jagdamba Prasad,1087,0.26,3057,0.72,4068,0.96,425868,SJSP,Anshu Money Dhawan,975,0.23,AZAD,Navneet,696,0.16,SHS,Vikram Singh,673,0.16,SJRP,Premchand,665,0.16,IND,Sudhir Bhardwaj,589,0.14,IND,Rakesh,470,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Gaziabad,I,,,,,BSP,Suresh Bansal,53696,52.82,,,INC,K K Sharma,39648,39.00,IND,Dhirendra,2136,2.10,RLD,Sultan Singh,2072,2.04,1184,1.16,,,101655,SJRP,Vikram,913,0.90,IND,Shamsher Rana,389,0.38,IND,Akhilesh Kumar,386,0.38,IND,Vikas Malhotra,376,0.37,IND,Mahesh Chand Gautam,241,0.24,SSAP,Kiran,227,0.22,BMUP,Matbul Ahmad,205,0.20,BJVP,Akila Begum,182,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Modi Nagar,I,BJP,Dr. Manju Shiwach,108631,50.32,BSP,Wahab,42049,19.48,66582,30.84,SP,Ram Asray Sharma,32507,15.06,RLD,Sudesh Sharma,29477,13.66,RWPD,Ramkumar,677,0.31,1074,0.50,1452,0.67,215867,IND,Mohmmad Ali,490,0.23,IND,Nizam,405,0.19,IND,Sumit,388,0.18,RLRP,Vishant,169,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dholana,I,BSP,Aaaslam Choudhary,88580,34.90,BJP,Ramesh Chand Tomer,85004,33.49,3576,1.41,SP,Dharmesh Singh Tomar,71786,28.28,RLD,Nagendar Singh Urf Nagan,3025,1.19,SJRP,Mukesh Kumar,2026,0.80,1279,0.50,2127,0.84,253827,IND,Kuldeep,414,0.16,RPS,Virendra,383,0.15,PECP,Lalit Mohan Saxena,379,0.15,NLP,Shahid,367,0.14,SBP,Rajesh Giri,335,0.13,SHS,Suresh Chand Shishodia,249,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Hapur (SC),I,BJP,Vijay Pal (Aadhti),84532,37.97,INC,Gajraj Singh,69526,31.23,15006,6.74,BSP,Shripal Singh,58806,26.41,RLD,Anju Urf Muskaan,5317,2.39,SJRP,Chandra Pal Singh,1108,0.50,944,0.42,2422,1.09,222655,BMUP,Dharmendra Singh,703,0.32,SBP,Arvind Sen,687,0.31,IND,Lala Ram Gautam,617,0.28,IND,Rajpal Singh,415,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Garhmukteshwar,I,BJP,Kamal Singh Malik,91086,41.08,BSP,Prashant Chaudhary,55792,25.16,35294,15.92,SP,Madan Chauhan,48810,22.01,IND,Satpal Yadav,15089,6.80,RLD,Kunwar Ayyub Ali,5648,2.55,572,0.26,4758,2.15,221755,IND,Sandeep Kumar,879,0.40,IND,Dr. Hukam Singh,812,0.37,RKMP,Veeresh Chaudhary,618,0.28,SBP,Pt. Gopal Sharma,600,0.27,IND,Amrita Kumar,465,0.21,IND,Siddharth Malik,457,0.21,BJD,Nafees Ahmad,349,0.16,IEMC,Deen Mohammad,242,0.11,IND,Bijendra Singh,200,0.09,RaJP,Vinod Kumar,136,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Noida,I,BJP,Pankaj Singh,162417,63.84,SP,Sunil Choudhary,58401,22.96,104016,40.88,BSP,Ravikant,27365,10.76,IND,Vijay Kumar,963,0.38,RLD,Brijesh,509,0.20,1787,0.70,2966,1.17,254408,SHS,Jayaram Bansal,472,0.19,SSAP,Javed Khan,463,0.18,RaJaSP,Prem Singh,370,0.15,BSS,Vikram Singh,324,0.13,IND,Vikas Gupta,323,0.13,BDSAP,Kishore Singh,307,0.12,JAM,Krishna Kant Singh,295,0.12,BBP,Ripan Haldar,282,0.11,PUPVP,Krishnpal Singh,130,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Dadri,I,BJP,Tejpal Singh Nagar,141226,53.24,BSP,Satveer Singh Gurjar,61049,23.01,80177,30.23,INC,Samir Bhati,39975,15.07,RLD,Ravindra Singh Bhati,10373,3.91,RPS,Ramesh Singh Rawal,3835,1.45,1665,0.63,7158,2.70,265281,IND,Sonu Kumar,1471,0.55,IND,Anil,1382,0.52,IND,Rajkumar,920,0.35,IND,Shakila,833,0.31,IND,Mahakar Singh,784,0.30,HCP,Ramdhan,568,0.21,RKVP,Jagdish,464,0.17,IND,Deviram,436,0.16,SHS,Sanjay Kumar,300,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Jewar,I,BJP,Dhirendra Singh,102979,48.71,BSP,Vedram Bhati,80806,38.22,22173,10.49,SP,Narender Nagar,13239,6.26,RLD,Kamal Sharma,9016,4.26,REPS,Vinod,1241,0.59,1276,0.60,2857,1.35,211414,IND,Yogesh Kumar,1053,0.50,RKMP,Vinod Kumar Sharma,906,0.43,IND,Sumita Vaid Dixit,898,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sikandrabad,I,BJP,Bimla Singh Solanki,104956,41.66,BSP,Mohammad Imran,76333,30.30,28623,11.36,SP,Rahul Yadav,48910,19.41,RLD,Asha Yadav,17714,7.03,RaJaSP,Bhanu Pratap Singh,1224,0.49,1038,0.41,1775,0.70,251950,SJRP,Satish,1059,0.42,VP,Sonvati Urf Somvati,716,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Bulandshahr,I,BJP,Virendra Singh Sirohi,111538,45.51,BSP,Moh Aleem Khan,88454,36.09,23084,9.42,SP,Shujat Alam,24119,9.84,RLD,Shribhagwan Sharma,17216,7.02,IND,Mustkeem,881,0.36,1638,0.67,1236,0.50,245082,RaJaSP,Hukam Singh,873,0.36,RKMP,Roop Giri,363,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Syana,I,BJP,Devendra,125854,54.15,BSP,Dilnawaz Khan,54224,23.33,71630,30.82,RLD,Thakur Sunil Singh,22420,9.65,INC,Mohd Arif Saeed,20611,8.87,CPIM,Jagvir Singh,1645,0.71,1392,0.60,6284,2.70,232430,SHS,Rajkumar,1208,0.52,IND,Roop Basant,1162,0.50,RaJP,Umesh Shankar Sarjan,886,0.38,IND,Dinesh,828,0.36,RKMP,Pradeep Sirohi,682,0.29,IND,Rohtash,636,0.27,SDU,Nempal Singh,558,0.24,RKP,Pavitra Pal,324,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Anupshahr,I,BJP,Sanjay,112431,48.93,BSP,Gajendra Singh,52117,22.68,60314,26.25,SP,Syed Himayat Ali,48610,21.16,RLD,Hoshiyar Singh,11628,5.06,IND,Harendra Singh,1006,0.44,1620,0.71,2353,1.02,229765,IND,Sanjay Sharma,567,0.25,LD,Jagmal,552,0.24,IND,B. K. Singh,495,0.22,RKMP,Parmesh Vashishtha,300,0.13,IND,Archana Singh,239,0.10,RKP,Nepal Singh,200,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Debai,I,BJP,Dr. Anita Lodhi Rajput,111807,53.29,SP,Harish Kumar,46177,22.01,65630,31.28,BSP,Devendra Bhardwaj,44974,21.44,RLD,Satyaveer,2647,1.26,IND,Navratan Singh,1108,0.53,2048,0.98,1048,0.50,209809,REPS,Lal Singh,591,0.28,IND,Cahran Singh,457,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Shikarpur,I,BJP,Anil Kumar,101912,50.26,BSP,Mukul Upadhyay,51667,25.48,50245,24.78,INC,Udai Karan Singh Dalal,32914,16.23,RLD,Mukesh Sharma,7734,3.81,IND,Shanti Swroop Sharma,2908,1.43,2115,1.04,3535,1.74,202785,IND,Lakhan Sharma,1111,0.55,RKMP,Jai Prakash Singh,561,0.28,IND,Raghuraj Pratap Singh,503,0.25,SSAP,Varsha Devi,361,0.18,JANP,Jitendra Saini,343,0.17,RJAP,Vijay Devi,247,0.12,IND,Manoj Kumar,155,0.08,IND,Nishant Kumar Sharma,130,0.06,RPS,Sonpal Singh,124,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Khurja (SC),I,BJP,Vijendra Singh,119493,50.43,BSP,Arjun Singh,55194,23.29,64299,27.14,INC,Banshi Singh,53084,22.40,RLD,Manoj Kumar,3921,1.65,IND,Sanjiv Singh,1092,0.46,1716,0.72,2470,1.04,236970,RPS,Ajay Kumar,987,0.42,RJPP,Prabhudayal,757,0.32,RKMP,Rajvir Singh,726,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
